Label,Notation,Parent Notation,Sort Priority
all,all,,
couple-with-dependent-child-ren,couple-with-dependent-child-ren,,
couple-no-dependent-child-ren-aged-60-or-over,couple-no-dependent-child-ren-aged-60-or-over,,
couple-no-dependent-child-ren-under-60,couple-no-dependent-child-ren-under-60,,
lone-parent-with-dependent-child-ren,lone-parent-with-dependent-child-ren,,
one-person-aged-60-or-over,one-person-aged-60-or-over,,
one-person-under-60,one-person-under-60,,
other-multi-person-households,other-multi-person-households,,
all-households,all-households,,
