Value,Period,Low Income High costs Matrix,Unit,Measure Type,FPEER,SAP BAND,Rurality,Region,Dwelling Type,Dwelling Age,Floor Area,Gas Grid Connection,Main Fuel Type,Wall Insulation
77.0,year/2020,low-income-low-energy-efficiency,m2,median-floor-area,all,all,all,E92000001,all,all,all,all,all,all
71.0,year/2020,low-income-high-energy-efficiency,m2,median-floor-area,all,all,all,E92000001,all,all,all,all,all,all
90.0,year/2020,high-income-low-energy-efficiency,m2,median-floor-area,all,all,all,E92000001,all,all,all,all,all,all
82.0,year/2020,high-income-high-energy-efficiency,m2,median-floor-area,all,all,all,E92000001,all,all,all,all,all,all
83.0,year/2020,all,m2,median-floor-area,all,all,all,E92000001,all,all,all,all,all,all
79.0,year/2020,all,m2,median-floor-area,a-b-and-c,all,all,E92000001,all,all,all,all,all,all
86.0,year/2020,all,m2,median-floor-area,d,all,all,E92000001,all,all,all,all,all,all
91.0,year/2020,all,m2,median-floor-area,e,all,all,E92000001,all,all,all,all,all,all
90.0,year/2020,all,m2,median-floor-area,f,all,all,E92000001,all,all,all,all,all,all
94.0,year/2020,all,m2,median-floor-area,g,all,all,E92000001,all,all,all,all,all,all
79.0,year/2020,all,m2,median-floor-area,all,a-b-and-c,all,E92000001,all,all,all,all,all,all
85.0,year/2020,all,m2,median-floor-area,all,d,all,E92000001,all,all,all,all,all,all
90.0,year/2020,all,m2,median-floor-area,all,e,all,E92000001,all,all,all,all,all,all
90.0,year/2020,all,m2,median-floor-area,all,f,all,E92000001,all,all,all,all,all,all
94.0,year/2020,all,m2,median-floor-area,all,g,all,E92000001,all,all,all,all,all,all
81.0,year/2020,all,m2,median-floor-area,all,all,urban,E92000001,all,all,all,all,all,all
89.0,year/2020,all,m2,median-floor-area,all,all,semi-rural,E92000001,all,all,all,all,all,all
118.0,year/2020,all,m2,median-floor-area,all,all,rural,E92000001,all,all,all,all,all,all
82.0,year/2020,all,m2,median-floor-area,all,all,all,E12000001,all,all,all,all,all,all
85.0,year/2020,all,m2,median-floor-area,all,all,all,E12000002,all,all,all,all,all,all
80.0,year/2020,all,m2,median-floor-area,all,all,all,E12000003,all,all,all,all,all,all
84.0,year/2020,all,m2,median-floor-area,all,all,all,E12000004,all,all,all,all,all,all
82.0,year/2020,all,m2,median-floor-area,all,all,all,E12000005,all,all,all,all,all,all
84.0,year/2020,all,m2,median-floor-area,all,all,all,E12000006,all,all,all,all,all,all
75.0,year/2020,all,m2,median-floor-area,all,all,all,E12000007,all,all,all,all,all,all
88.0,year/2020,all,m2,median-floor-area,all,all,all,E12000008,all,all,all,all,all,all
86.0,year/2020,all,m2,median-floor-area,all,all,all,E12000009,all,all,all,all,all,all
59.0,year/2020,all,m2,median-floor-area,all,all,all,E92000001,converted-flat-note-a,all,all,all,all,all
129.0,year/2020,all,m2,median-floor-area,all,all,all,E92000001,detached,all,all,all,all,all
81.0,year/2020,all,m2,median-floor-area,all,all,all,E92000001,end-terrace,all,all,all,all,all
82.0,year/2020,all,m2,median-floor-area,all,all,all,E92000001,mid-terrace,all,all,all,all,all
57.0,year/2020,all,m2,median-floor-area,all,all,all,E92000001,purpose-built-flat,all,all,all,all,all
87.0,year/2020,all,m2,median-floor-area,all,all,all,E92000001,semi-detached,all,all,all,all,all
88.0,year/2020,all,m2,median-floor-area,all,all,all,E92000001,all,pre-1919,all,all,all,all
90.0,year/2020,all,m2,median-floor-area,all,all,all,E92000001,all,1919-to-1944,all,all,all,all
83.0,year/2020,all,m2,median-floor-area,all,all,all,E92000001,all,1945-to-1964,all,all,all,all
81.0,year/2020,all,m2,median-floor-area,all,all,all,E92000001,all,1965-to-1980,all,all,all,all
75.0,year/2020,all,m2,median-floor-area,all,all,all,E92000001,all,1981-to-1990,all,all,all,all
75.0,year/2020,all,m2,median-floor-area,all,all,all,E92000001,all,1991-to-2002,all,all,all,all
79.0,year/2020,all,m2,median-floor-area,all,all,all,E92000001,all,post-2002,all,all,all,all
45.0,year/2020,all,m2,median-floor-area,all,all,all,E92000001,all,all,less-than-50-sqm,all,all,all
64.0,year/2020,all,m2,median-floor-area,all,all,all,E92000001,all,all,50-to-69-sqm,all,all,all
83.0,year/2020,all,m2,median-floor-area,all,all,all,E92000001,all,all,70-to-89-sqm,all,all,all
103.0,year/2020,all,m2,median-floor-area,all,all,all,E92000001,all,all,90-to-109-sqm,all,all,all
148.0,year/2020,all,m2,median-floor-area,all,all,all,E92000001,all,all,110-sqm-or-more,all,all,all
84.0,year/2020,all,m2,median-floor-area,all,all,all,E92000001,all,all,all,yes,all,all
67.0,year/2020,all,m2,median-floor-area,all,all,all,E92000001,all,all,all,no,all,all
84.0,year/2020,all,m2,median-floor-area,all,all,all,E92000001,all,all,all,all,gas,all
58.0,year/2020,all,m2,median-floor-area,all,all,all,E92000001,all,all,all,all,electricity,all
95.0,year/2020,all,m2,median-floor-area,all,all,all,E92000001,all,all,all,all,other,all
80.0,year/2020,all,m2,median-floor-area,all,all,all,E92000001,all,all,all,all,all,cavity-uninsulated
84.0,year/2020,all,m2,median-floor-area,all,all,all,E92000001,all,all,all,all,all,cavity-with-insulation
84.0,year/2020,all,m2,median-floor-area,all,all,all,E92000001,all,all,all,all,all,solid-uninsulated
74.0,year/2020,all,m2,median-floor-area,all,all,all,E92000001,all,all,all,all,all,solid-with-insulation
75.0,year/2020,all,m2,median-floor-area,all,all,all,E92000001,all,all,all,all,all,other-note-b
